name,slug,value,date_of_information,ranking,region
"Oman","oman","11.00","2020 est.","1","Middle East"
"Saudi Arabia","saudi-arabia","7.90","2020 est.","2","Middle East"
"Algeria","algeria","7.00","2020 est.","3","Africa"
"Kuwait","kuwait","6.30","2020 est.","4","Middle East"
"United Arab Emirates","united-arab-emirates","6.00","2020 est.","5","Middle East"
"Azerbaijan","azerbaijan","5.40","2020 est.","6","Middle East"
"Eritrea","eritrea","5.10","2017 est.","7","Africa"
"Armenia","armenia","5.00","2020 est.","8","Middle East"
"Djibouti","djibouti","4.90","2017 est.","9","Africa"
"Israel","israel","4.80","2020 est.","10","Middle East"
"Jordan","jordan","4.70","2020 est.","11","Middle East"
"Morocco","morocco","4.50","2020 est.","12","Africa"
"Pakistan","pakistan","4.30","2020 est.","13","South Asia"
"Yemen","yemen","4.30","2014","14","Middle East"
"Bahrain","bahrain","4.20","2020 est.","15","Middle East"
"Iraq","iraq","4.10","2020 est.","16","Middle East"
"Qatar","qatar","4.00","2020 est.","17","Middle East"
"Russia","russia","4.00","2020 est.","18","Central Asia"
"United States","united-states","3.73","2020 est.","19","North America"
"Brunei","brunei","3.70","2020 est.","20","East Asia/Southeast Asia"
"Mali","mali","3.40","2020 est.","21","Africa"
"Namibia","namibia","3.40","2020 est.","22","Africa"
"Singapore","singapore","3.30","2020 est.","23","East Asia/Southeast Asia"
"Congo, Republic of the","congo-republic-of-the","3.20","2020 est.","24","Africa"
"Ukraine","ukraine","3.20","2020 est.","25","Europe"
"Botswana","botswana","3.00","2020 est.","26","Africa"
"Burma","burma","3.00","2020 est.","27","East Asia/Southeast Asia"
"Colombia","colombia","3.00","2020 est.","28","South America"
"Lebanon","lebanon","3.00","2020 est.","29","Middle East"
"Chad","chad","2.90","2020 est.","30","Africa"
"Cuba","cuba","2.90","2018 est.","31","Central America"
"Tunisia","tunisia","2.90","2020 est.","32","Africa"
"Korea, South","korea-south","2.80","2020 est.","33","East Asia/Southeast Asia"
"Greece","greece","2.68","2020 est.","34","Europe"
"India","india","2.60","2020 est.","35","South Asia"
"Burkina Faso","burkina-faso","2.50","2020 est.","36","Africa"
"Cambodia","cambodia","2.50","2020 est.","37","East Asia/Southeast Asia"
"Mauritania","mauritania","2.50","2020 est.","38","Africa"
"Uganda","uganda","2.50","2020 est.","39","Africa"
"United Kingdom","united-kingdom","2.32","2020 est.","40","Europe"
"Ecuador","ecuador","2.30","2020 est.","41","South America"
"Estonia","estonia","2.30","2021 est.","42","Europe"
"South Sudan","south-sudan","2.30","2020 est.","43","Africa"
"Taiwan","taiwan","2.30","2020 est.","44","East Asia/Southeast Asia"
"Vietnam","vietnam","2.30","2020 est.","45","East Asia/Southeast Asia"
"Latvia","latvia","2.27","2020 est.","46","Europe"
"Finland","finland","2.20","2021 est.","47","Europe"
"Poland","poland","2.20","2021 est.","48","Europe"
"Australia","australia","2.10","2021 est.","49","Australia - Oceania"
"Burundi","burundi","2.10","2020 est.","50","Africa"
"Iran","iran","2.10","2020 est.","51","Middle East"
"Niger","niger","2.10","2020 est.","52","Africa"
"Romania","romania","2.07","2020 est.","53","Europe"
"France","france","2.04","2020 est.","54","Europe"
"Lithuania","lithuania","2.03","2021 est.","55","Europe"
"Chile","chile","2.00","2020 est.","56","South America"
"Norway","norway","2.00","2020 est.","57","Europe"
"Serbia","serbia","2.00","2020 est.","58","Europe"
"Slovakia","slovakia","2.00","2020 est.","59","Europe"
"Sri Lanka","sri-lanka","2.00","2020 est.","60","South Asia"
"Togo","togo","2.00","2020 est.","61","Africa"
"Uruguay","uruguay","2.00","2020 est.","62","South America"
"Turkey","turkey","1.86","2020 est.","63","Middle East"
"Hungary","hungary","1.85","2020 est.","64","Europe"
"Croatia","croatia","1.83","2020 est.","65","Europe"
"Central African Republic","central-african-republic","1.80","2020 est.","66","Africa"
"Eswatini","eswatini","1.80","2020 est.","67","Africa"
"Gabon","gabon","1.80","2020 est.","68","Africa"
"Georgia","georgia","1.80","2020 est.","69","Middle East"
"Cyprus","cyprus","1.75","2020 est.","70","Europe"
"Montenegro","montenegro","1.72","2020 est.","71","Europe"
"Angola","angola","1.70","2020 est.","72","Africa"
"China","china","1.70","2020 est.","73","East Asia/Southeast Asia"
"Guinea-Bissau","guinea-bissau","1.70","2020 est.","74","Africa"
"Honduras","honduras","1.70","2020 est.","75","Central America"
"Jamaica","jamaica","1.70","2020 est.","76","Central America"
"Bulgaria","bulgaria","1.60","2020 est.","77","Europe"
"Lesotho","lesotho","1.60","2020 est.","78","Africa"
"Seychelles","seychelles","1.60","2020 est.","79","Africa"
"Portugal","portugal","1.59","2020 est.","80","Europe"
"North Macedonia","north-macedonia","1.57","2021 est.","81","Europe"
"Germany","germany","1.56","2020 est.","82","Europe"
"Belize","belize","1.50","2020 est.","83","Central America"
"Kyrgyzstan","kyrgyzstan","1.50","2020 est.","84","Central Asia"
"New Zealand","new-zealand","1.50","2020","85","Australia - Oceania"
"Senegal","senegal","1.50","2020","86","Africa"
"Timor-Leste","timor-leste","1.50","2020 est.","87","East Asia/Southeast Asia"
"Netherlands","netherlands","1.49","2020 est.","88","Europe"
"Denmark","denmark","1.43","2020 est.","89","Europe"
"Canada","canada","1.42","2020 est.","90","North America"
"Fiji","fiji","1.40","2020 est.","91","Australia - Oceania"
"Guinea","guinea","1.40","2020 est.","92","Africa"
"Panama","panama","1.40","2020 est.","93","Central America"
"Thailand","thailand","1.40","2020 est.","94","East Asia/Southeast Asia"
"Italy","italy","1.39","2020 est.","95","Europe"
"Czechia","czechia","1.34","2020 est.","96","Europe"
"Albania","albania","1.30","2020 est.","97","Europe"
"Bolivia","bolivia","1.30","2020 est.","98","South America"
"Brazil","brazil","1.30","2020 est.","99","South America"
"Equatorial Guinea","equatorial-guinea","1.30","2019 est.","100","Africa"
"Nepal","nepal","1.30","2020 est.","101","South Asia"
"Rwanda","rwanda","1.30","2020","102","Africa"
"Somalia","somalia","1.30","2017 est.","103","Africa"
"Tanzania","tanzania","1.30","2020 est.","104","Africa"
"Zambia","zambia","1.30","2020 est.","105","Africa"
"Afghanistan","afghanistan","1.20","2019","106","South Asia"
"Bangladesh","bangladesh","1.20","2020 est.","107","South Asia"
"Belarus","belarus","1.20","2020 est.","108","Europe"
"Egypt","egypt","1.20","2020 est.","109","Africa"
"El Salvador","el-salvador","1.20","2020 est.","110","Central America"
"Guyana","guyana","1.20","2020 est.","111","South America"
"Kenya","kenya","1.20","2020","112","Africa"
"Peru","peru","1.20","2020 est.","113","South America"
"Uzbekistan","uzbekistan","1.20","2020 est.","114","Central Asia"
"Spain","spain","1.17","2020 est.","115","Europe"
"Cote d'Ivoire","cote-divoire","1.10","2020 est.","116","Africa"
"Kosovo","kosovo","1.10","2020","117","Europe"
"Malaysia","malaysia","1.10","2020 est.","118","East Asia/Southeast Asia"
"Slovenia","slovenia","1.10","2020 est.","119","Europe"
"Sudan","sudan","1.10","2020 est.","120","Africa"
"Suriname","suriname","1.10","2017 est.","121","South America"
"Sweden","sweden","1.10","2020 est.","122","Europe"
"Tajikistan","tajikistan","1.10","2020 est.","123","Central Asia"
"Belgium","belgium","1.07","2020 est.","124","Europe"
"Cameroon","cameroon","1.00","2020 est.","125","Africa"
"Japan","japan","1.00","2020","126","East Asia/Southeast Asia"
"Mozambique","mozambique","1.00","2020 est.","127","Africa"
"Paraguay","paraguay","1.00","2020 est.","128","South America"
"Philippines","philippines","1.00","2020 est.","129","East Asia/Southeast Asia"
"Bahamas, The","bahamas-the","0.90","2021 est.","130","Central America"
"Barbados","barbados","0.90","2020 est.","131","Central America"
"Bosnia and Herzegovina","bosnia-and-herzegovina","0.90","2021 est.","132","Europe"
"Kazakhstan","kazakhstan","0.90","2020 est.","133","Central Asia"
"Malawi","malawi","0.90","2020 est.","134","Africa"
"South Africa","south-africa","0.90","2021 est.","135","Africa"
"Turkmenistan","turkmenistan","0.90","2020 est.","136","Central Asia"
"Argentina","argentina","0.80","2020","138","South America"
"Austria","austria","0.80","2021 est.","139","Europe"
"Dominican Republic","dominican-republic","0.80","2020 est.","140","Central America"
"Gambia, The","gambia-the","0.80","2020 est.","141","Africa"
"Indonesia","indonesia","0.80","2020 est.","142","East Asia/Southeast Asia"
"Madagascar","madagascar","0.80","2020 est.","143","Africa"
"Mongolia","mongolia","0.80","2020 est.","144","East Asia/Southeast Asia"
"Switzerland","switzerland","0.80","2020 est.","145","Europe"
"Trinidad and Tobago","trinidad-and-tobago","0.80","2020 est.","146","Central America"
"Costa Rica","costa-rica","0.70","2020","147","Central America"
"Nicaragua","nicaragua","0.70","2020 est.","148","Central America"
"Zimbabwe","zimbabwe","0.70","2019 est.","149","Africa"
"Cabo Verde","cabo-verde","0.60","2020 est.","150","Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","0.60","2020 est.","151","Africa"
"Malta","malta","0.60","2020","152","Europe"
"Mexico","mexico","0.60","2020 est.","153","North America"
"Nigeria","nigeria","0.60","2020","154","Africa"
"Luxembourg","luxembourg","0.57","2020 est.","155","Europe"
"Benin","benin","0.50","2020 est.","156","Africa"
"Ethiopia","ethiopia","0.50","2020 est.","157","Africa"
"Guatemala","guatemala","0.50","2020 est.","158","Central America"
"Sierra Leone","sierra-leone","0.50","2020 est.","159","Africa"
"Ghana","ghana","0.40","2020 est.","160","Africa"
"Liberia","liberia","0.40","2020 est.","161","Africa"
"Moldova","moldova","0.40","2020 est.","162","Europe"
"Papua New Guinea","papua-new-guinea","0.40","2020 est.","163","East Asia/Southeast Asia"
"Venezuela","venezuela","0.40","2017","164","South America"
"Ireland","ireland","0.27","2020","165","Europe"
"Laos","laos","0.20","2017 est.","166","East Asia/Southeast Asia"
"Mauritius","mauritius","0.20","2020 est.","167","Africa"